MVs_Virginia.USA_36.21_3	A
MVs_Wisconsin.USA_39.21_11	B
MVs_Wisconsin.USA_37.21	B
MVs_Wisconsin.USA_37.21_3	B
MVs_Wisconsin.USA_37.21_5	B
MVs_Wisconsin.USA_37.21_6	B
MVs_Wisconsin.USA_38.21	B
MVs_Wisconsin.USA_39.21_10	B
MVs_Wisconsin.USA_39.21_14	B
MVs_Wisconsin.USA_39.21_15	B
MVs_Wisconsin.USA_39.21_2	B
MVs_Wisconsin.USA_39.21_3	B
MVs_Wisconsin.USA_39.21_8_1	B
MVs_Wisconsin.USA_39.21_4	B
MVs_Wisconsin.USA_39.21_5	B
MVs_Wisconsin.USA_39.21_6	B
MVs_Wisconsin.USA_39.21_7	B
MVs_Wisconsin.USA_37.21_2	B
MVs_Wisconsin.USA_39.21	B
MVs_Wisconsin.USA_35.21	B
MVs_Wisconsin.USA_39.21_12	B
MVs_Wisconsin.USA_39.21_13	B
MVs_Wisconsin.USA_37.21_4	B
MVs_Virginia.USA_35.21_4	C
MVs_Virginia.USA_35.21_5	C
MVs_Virginia.USA_35.21_6	C
MVs_Virginia.USA_36.21	C
MVs_Virginia.USA_37.21	C
MVs_Virginia.USA_36.21_2	C
MVs_Virginia.USA_36.21_4	C
MVs_Virginia.USA_36.21_5	C
MVs_Virginia.USA_37.21_2	C
MVs_NewMexico.USA_38.21	D
MVs_Virginia.USA_35.21	C
MVs_Virginia.USA_40.21_3	E
MVs_Virginia.USA_39.21_2	E
MVs_Virginia.USA_39.21_4	E
MVs_Virginia.USA_41.21	E
MVs_Virginia.USA_40.21	E
MVs_Virginia.USA_38.21	E
MVs_Virginia.USA_39.21	E
MVs_Virginia.USA_40.21_2	E
MVs_Virginia.USA_39.21_3	E
